founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
['Tanvi Surti',28129,Luca,W23,Active,"['Machine Learning', 'SaaS', 'E-commerce', 'Retail']",San Francisco,https://www.askluca.com/,https://www.linkedin.com/company/lucasoftware/,The Pricing Co-Pilot for Enterprise Retailers,2
'Yonah Mann'],28129,Luca,W23,Active,"['Machine Learning', 'SaaS', 'E-commerce', 'Retail']",San Francisco,https://www.askluca.com/,https://www.linkedin.com/company/lucasoftware/,The Pricing Co-Pilot for Enterprise Retailers,2
['Evan Zimmerman',28128,Drift Bio,W23,Active,"['SaaS', 'B2B', 'Biotech', 'Genomics']",San Francisco,https://driftbio.com,https://www.linkedin.com/company/drift-bio,The operating system for life sciences data,2
'Len Boyette'],28128,Drift Bio,W23,Active,"['SaaS', 'B2B', 'Biotech', 'Genomics']",San Francisco,https://driftbio.com,https://www.linkedin.com/company/drift-bio,The operating system for life sciences data,2
['Neil Madsen',28119,Fabius,W23,Active,"['Generative AI', 'SaaS', 'B2B', 'Sales', 'AI']",San Francisco,https://fabius.io,https://www.linkedin.com/company/fabius-technologies/,AI to improve Sales Calls,2
'Andy Day'],28119,Fabius,W23,Active,"['Generative AI', 'SaaS', 'B2B', 'Sales', 'AI']",San Francisco,https://fabius.io,https://www.linkedin.com/company/fabius-technologies/,AI to improve Sales Calls,2
['Alec Dunn',28127,BidSight,W23,Active,"['SaaS', 'Real Estate', 'Construction', 'B2B', 'Proptech']",New York,https://www.bidsight.io/,https://www.linkedin.com/company/bidsight/,Modernizing project management for real estate developers.,3
'Connor Janson',28127,BidSight,W23,Active,"['SaaS', 'Real Estate', 'Construction', 'B2B', 'Proptech']",New York,https://www.bidsight.io/,https://www.linkedin.com/company/bidsight/,Modernizing project management for real estate developers.,3
'Josh Kerber'],28127,BidSight,W23,Active,"['SaaS', 'Real Estate', 'Construction', 'B2B', 'Proptech']",New York,https://www.bidsight.io/,https://www.linkedin.com/company/bidsight/,Modernizing project management for real estate developers.,3
['Kian Hooshmand',28118,Vocode,W23,Active,"['Developer Tools', 'Generative AI', 'Open Source', 'Conversational AI']",San Francisco,https://vocode.dev,https://www.linkedin.com/company/vocode-dev/about/,Open source voice AI on top of LLMs,2
'Ajay Raj'],28118,Vocode,W23,Active,"['Developer Tools', 'Generative AI', 'Open Source', 'Conversational AI']",San Francisco,https://vocode.dev,https://www.linkedin.com/company/vocode-dev/about/,Open source voice AI on top of LLMs,2
['Rodrigo Vidal',28116,Wallbit Pay,W23,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Neobank']",San Francisco,https://wallbit.io,https://linkedin.com/company/wallbit,Neobank for global remote workers,4
'Braian Fritz',28116,Wallbit Pay,W23,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Neobank']",San Francisco,https://wallbit.io,https://linkedin.com/company/wallbit,Neobank for global remote workers,4
'Tomas Bruzza',28116,Wallbit Pay,W23,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Neobank']",San Francisco,https://wallbit.io,https://linkedin.com/company/wallbit,Neobank for global remote workers,4
'Martin Tito Gira'],28116,Wallbit Pay,W23,Active,"['Fintech', 'Crypto / Web3', 'Investing', 'Neobank']",San Francisco,https://wallbit.io,https://linkedin.com/company/wallbit,Neobank for global remote workers,4
['Rangel Milushev',28114,BabylonAI,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'Machine Learning', 'Computer Vision', 'B2B']",San Francisco,https://babylonai.dev,https://www.linkedin.com/company/babylonai/,Datadog for machine learning on edge devices,2
'Ahmad Roumie'],28114,BabylonAI,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'Machine Learning', 'Computer Vision', 'B2B']",San Francisco,https://babylonai.dev,https://www.linkedin.com/company/babylonai/,Datadog for machine learning on edge devices,2
['Akash Sharma',28115,Vellum,W23,Active,[],,https://www.vellum.ai/,https://www.linkedin.com/company/vellumai/,Developer platform for building great AI applications,3
'Noa Flaherty',28115,Vellum,W23,Active,[],,https://www.vellum.ai/,https://www.linkedin.com/company/vellumai/,Developer platform for building great AI applications,3
'Sidd Seethepalli'],28115,Vellum,W23,Active,[],,https://www.vellum.ai/,https://www.linkedin.com/company/vellumai/,Developer platform for building great AI applications,3
['Kamil Kisielewicz',28113,Interlock,W23,Active,[],San Francisco,https://www.tryinterlock.com/,https://www.linkedin.com/company/interlock-labs/,We are still in stealth mode.,2
'Shivansh Rustagi'],28113,Interlock,W23,Active,[],San Francisco,https://www.tryinterlock.com/,https://www.linkedin.com/company/interlock-labs/,We are still in stealth mode.,2
['Karthik Raman',28112,Persist AI,W23,Active,"['Machine Learning', 'Robotics', 'Microfluidics', 'Nanotechnology', 'Therapeutics']","Woodland, CA",http://www.persist-ai.com,https://www.linkedin.com/company/persist-ai/,Developing long-lasting drug formulations 50% faster,2
'Christopher Shelner'],28112,Persist AI,W23,Active,"['Machine Learning', 'Robotics', 'Microfluidics', 'Nanotechnology', 'Therapeutics']","Woodland, CA",http://www.persist-ai.com,https://www.linkedin.com/company/persist-ai/,Developing long-lasting drug formulations 50% faster,2
['Conrad Lilleness',28110,Conduit,W23,Active,"['SaaS', 'B2B', 'Logistics', 'Transportation', 'Enterprise Software']",San Francisco,http://helloconduit.com,https://www.linkedin.com/company/getconduit/,Software for warehouses to automate schedules with trucks.,2
'Saba Khalilnaji'],28110,Conduit,W23,Active,"['SaaS', 'B2B', 'Logistics', 'Transportation', 'Enterprise Software']",San Francisco,http://helloconduit.com,https://www.linkedin.com/company/getconduit/,Software for warehouses to automate schedules with trucks.,2
['Yan Fu',28111,Berry,W23,Active,"['SaaS', 'Productivity', 'Customer Success', 'Collaboration', 'Remote Work']",San Francisco,https://berryapp.io/yc,https://www.linkedin.com/company/berryhq/,"A Chrome extension that turns any web app multiplayer, like Figma",2
'Ann Chan'],28111,Berry,W23,Active,"['SaaS', 'Productivity', 'Customer Success', 'Collaboration', 'Remote Work']",San Francisco,https://berryapp.io/yc,https://www.linkedin.com/company/berryhq/,"A Chrome extension that turns any web app multiplayer, like Figma",2
['Royal Jain',28108,Codeparrot,W23,Active,['Developer Tools'],San Francisco,https://www.codeparrot.ai/,https://www.linkedin.com/company/codeparrotai,Continuous testing platform for APIs,2
'Vedant Agarwala'],28108,Codeparrot,W23,Active,['Developer Tools'],San Francisco,https://www.codeparrot.ai/,https://www.linkedin.com/company/codeparrotai,Continuous testing platform for APIs,2
['Danny Sheridan',28103,Fern,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Open Source', 'API']",San Francisco,https://www.buildwithfern.com,https://www.linkedin.com/company/88002225,Generate SDKs and documentation for your API,3
'Zach Kirsch',28103,Fern,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Open Source', 'API']",San Francisco,https://www.buildwithfern.com,https://www.linkedin.com/company/88002225,Generate SDKs and documentation for your API,3
'Deep Singhvi'],28103,Fern,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Open Source', 'API']",San Francisco,https://www.buildwithfern.com,https://www.linkedin.com/company/88002225,Generate SDKs and documentation for your API,3
['Zeno Rocha',28098,Resend,W23,Active,"['Developer Tools', 'Messaging', 'API', 'Email']",San Francisco,https://resend.com,https://linkedin.com/company/resend,Email API for developers,2
'Bu Kinoshita'],28098,Resend,W23,Active,"['Developer Tools', 'Messaging', 'API', 'Email']",San Francisco,https://resend.com,https://linkedin.com/company/resend,Email API for developers,2
['Sachin Jaishankar',28099,Unstatiq,W23,Active,"['Developer Tools', 'B2B', 'API', 'Data Engineering', 'AI']",San Francisco,https://,,Automatic data validation using AI,2
'Nishanth Singaraju'],28099,Unstatiq,W23,Active,"['Developer Tools', 'B2B', 'API', 'Data Engineering', 'AI']",San Francisco,https://,,Automatic data validation using AI,2
['Adithya Kavuluru',28107,SuperAPI,W23,Active,"['Developer Tools', 'API']","Bengaluru, India",https://trysuperapi.com,,Programmable API gateway that makes APIs cacheable,2
'Aditya Agrawal'],28107,SuperAPI,W23,Active,"['Developer Tools', 'API']","Bengaluru, India",https://trysuperapi.com,,Programmable API gateway that makes APIs cacheable,2
['Rishi Bhuta',28097,Decoherence,W23,Active,[],"Seattle, WA",https://decoherence.co,https://www.linkedin.com/company/decoherenceco,Create video from prompts,2
'Will Stith'],28097,Decoherence,W23,Active,[],"Seattle, WA",https://decoherence.co,https://www.linkedin.com/company/decoherenceco,Create video from prompts,2
['Amadeo Pellicce'],28096,Map3,W23,Active,"['SaaS', 'Crypto / Web3', 'Payments', 'B2B', 'Open Source']",New York,https://map3.xyz,https://www.linkedin.com/company/map3-xyz,Crypto Treasury Ops Automation For Fintechs,1
