founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Neo Cho,26708,Internet Friends,S22,Active,['Crypto / Web3'],"Seattle, WA",https://internetfriends.io/,,Pivoting...,2,False,False,False,neo-cho,https://www.linkedin.com/in/neo-cho,False,Medium,True,False
Alex Reyes,26708,Internet Friends,S22,Active,['Crypto / Web3'],"Seattle, WA",https://internetfriends.io/,,Pivoting...,2,False,False,False,alex-reyes,https://www.linkedin.com/in/alex-reyes,False,Medium,True,False
Salomon Serfati,26707,Chariot,S22,Active,"['Payments', 'Nonprofit']",New York,https://givechariot.com/,https://www.linkedin.com/company/givechariot/,A payment network connecting nonprofits to the $234B in DAFs,3,False,False,False,salomon-serfati,https://www.linkedin.com/in/salomon-serfati,True,High,True,False
Drew Schneider,26707,Chariot,S22,Active,"['Payments', 'Nonprofit']",New York,https://givechariot.com/,https://www.linkedin.com/company/givechariot/,A payment network connecting nonprofits to the $234B in DAFs,3,False,False,False,drew-schneider,https://www.linkedin.com/in/drew-schneider,True,High,True,False
Aaron Kahane,26707,Chariot,S22,Active,"['Payments', 'Nonprofit']",New York,https://givechariot.com/,https://www.linkedin.com/company/givechariot/,A payment network connecting nonprofits to the $234B in DAFs,3,False,False,False,aaron-kahane,https://www.linkedin.com/in/aaron-kahane,True,High,True,False
John Rising,26705,Stackup,S22,Active,"['Developer Tools', 'SaaS', 'Crypto / Web3', 'B2B', 'Open Source']","Los Angeles, CA",https://www.stackup.sh,,Stackup is a platform for building user-friendly blockchain products,2,False,True,True,john-rising,https://www.linkedin.com/in/john-rising,False,Medium,True,True
Hazim Jumali,26705,Stackup,S22,Active,"['Developer Tools', 'SaaS', 'Crypto / Web3', 'B2B', 'Open Source']","Los Angeles, CA",https://www.stackup.sh,,Stackup is a platform for building user-friendly blockchain products,2,False,True,True,hazim-jumali,https://www.linkedin.com/in/hazim-jumali,False,Medium,True,True
Henson Orser,26704,Two Dots,S22,Active,"['Artificial Intelligence', 'Fintech', 'B2B', 'Proptech']","Los Angeles, CA",https://www.twodots.net/,https://www.linkedin.com/company/two-dots-financial,Income verification and fraud prevention,2,True,False,True,henson-orser,https://www.linkedin.com/in/henson-orser,True,High,True,True
Max Ponte,26704,Two Dots,S22,Active,"['Artificial Intelligence', 'Fintech', 'B2B', 'Proptech']","Los Angeles, CA",https://www.twodots.net/,https://www.linkedin.com/company/two-dots-financial,Income verification and fraud prevention,2,True,False,True,max-ponte,https://www.linkedin.com/in/max-ponte,True,High,True,True
Ted Power,26703,Bend,S22,Active,"['Fintech', 'Sustainability', 'Climate']",New York,https://usebend.com/,https://www.linkedin.com/company/usebend/,The modern corporate card built for climate-friendly business,2,True,False,False,ted-power,https://www.linkedin.com/in/ted-power,True,High,True,True
